Day,Temperature,Humidity,Windspeed,Rentals,Weekday,Registered,Casual
258,0.5775,0.709167,0.271146,3659,4,3231,428
259,0.469167,0.590417,0.164183,4760,5,4018,742
260,0.491667,0.718333,0.189675,4511,6,3077,1434
261,0.5075,0.695,0.178483,4274,0,2921,1353
262,0.549167,0.69,0.151742,4539,1,3848,691
263,0.561667,0.88125,0.134954,3641,2,3203,438
264,0.595,0.9,0.0964042,4352,3,3813,539
265,0.628333,0.902083,0.128125,4795,4,4240,555
266,0.609167,0.9725,0.0783667,2395,5,2137,258
267,0.606667,0.8625,0.0783833,5423,6,3647,1776
268,0.634167,0.845,0.0503792,5010,0,3466,1544
269,0.649167,0.848333,0.1107,4630,1,3946,684
270,0.636667,0.885417,0.118171,4120,2,3643,477
271,0.635,0.84875,0.148629,3907,3,3427,480
272,0.616667,0.699167,0.172883,4839,4,4186,653
273,0.564167,0.6475,0.206475,5202,5,4372,830
274,0.41,0.75375,0.292296,2429,6,1949,480
275,0.356667,0.791667,0.222013,2918,0,2302,616
276,0.384167,0.760833,0.0833458,3570,1,3240,330
277,0.484167,0.71,0.205854,4456,2,3970,486
278,0.538333,0.647917,0.17725,4826,3,4267,559
279,0.494167,0.620833,0.134954,4765,4,4126,639
280,0.510833,0.684167,0.0223917,4985,5,4036,949
281,0.521667,0.70125,0.0454042,5409,6,3174,2235
282,0.540833,0.7275,0.06345,5511,0,3114,2397
283,0.570833,0.73375,0.0423042,5117,1,3603,1514
284,0.566667,0.80875,0.143042,4563,2,3896,667
285,0.543333,0.90625,0.24815,2416,3,2199,217
286,0.589167,0.896667,0.141787,2913,4,2623,290
287,0.550833,0.71625,0.223883,3644,5,3115,529
288,0.506667,0.483333,0.258083,5217,6,3318,1899
289,0.511667,0.486667,0.281717,5041,0,3293,1748
290,0.534167,0.579583,0.175379,4570,1,3857,713
291,0.5325,0.701667,0.110087,4748,2,4111,637
292,0.541739,0.895217,0.243339,2424,3,2170,254
293,0.475833,0.63625,0.422275,4195,4,3724,471
294,0.4275,0.574167,0.221396,4304,5,3628,676
295,0.4225,0.629167,0.0926667,4308,6,2809,1499
296,0.421667,0.74125,0.0995125,4381,0,2762,1619
297,0.463333,0.772083,0.118792,4187,1,3488,699
298,0.471667,0.622917,0.166658,4687,2,3992,695
299,0.484167,0.720417,0.148642,3894,3,3490,404
300,0.47,0.812917,0.197763,2659,4,2419,240
301,0.330833,0.585833,0.229479,3747,5,3291,456
302,0.254167,0.8825,0.351371,627,6,570,57
303,0.319167,0.62375,0.176617,3331,0,2446,885
304,0.34,0.703333,0.10635,3669,1,3307,362
305,0.400833,0.68375,0.135571,4068,2,3658,410
306,0.3775,0.71875,0.0820917,4186,3,3816,370
307,0.408333,0.702083,0.136817,3974,4,3656,318
308,0.403333,0.6225,0.271779,4046,5,3576,470
309,0.326667,0.519167,0.189062,3926,6,2770,1156
310,0.348333,0.734583,0.0920542,3649,0,2697,952
311,0.395,0.75875,0.057225,4035,1,3662,373
312,0.408333,0.721667,0.0690375,4205,2,3829,376
313,0.4,0.758333,0.0621958,4109,3,3804,305
314,0.38,0.813333,0.189067,2933,4,2743,190
315,0.324167,0.44625,0.314675,3368,5,2928,440
316,0.356667,0.552917,0.212062,4067,6,2792,1275
317,0.440833,0.458333,0.281721,3717,0,2713,1004
318,0.53,0.587083,0.306596,4486,1,3891,595
319,0.53,0.68875,0.199633,4195,2,3746,449
320,0.456667,0.93,0.136829,1817,3,1672,145
321,0.341667,0.575833,0.305362,3053,4,2914,139
322,0.274167,0.41,0.168533,3392,5,3147,245
323,0.329167,0.502083,0.224496,3663,6,2720,943
324,0.463333,0.684583,0.18595,3520,0,2733,787
325,0.4475,0.91,0.138054,2765,1,2545,220
326,0.416667,0.9625,0.118792,1607,2,1538,69
327,0.440833,0.757917,0.335825,2566,3,2454,112
328,0.373333,0.549167,0.167304,1495,4,935,560
329,0.375,0.64375,0.0988958,2792,5,1697,1095
330,0.375833,0.681667,0.0684208,3068,6,1819,1249
331,0.459167,0.698333,0.208954,3071,0,2261,810
332,0.503478,0.743043,0.142122,3867,1,3614,253
333,0.458333,0.830833,0.258092,2914,2,2818,96
334,0.325,0.613333,0.271158,3613,3,3425,188
335,0.3125,0.524583,0.220158,3727,4,3545,182
336,0.314167,0.625833,0.100754,3940,5,3672,268
337,0.299167,0.612917,0.0957833,3614,6,2908,706
338,0.330833,0.775833,0.0839583,3485,0,2851,634
339,0.385833,0.827083,0.0622083,3811,1,3578,233
340,0.4625,0.949583,0.232583,2594,2,2468,126
341,0.41,0.970417,0.266175,705,3,655,50
342,0.265833,0.58,0.240058,3322,4,3172,150
343,0.290833,0.695833,0.0827167,3620,5,3359,261
344,0.275,0.5075,0.233221,3190,6,2688,502
345,0.220833,0.49,0.0665417,2743,0,2366,377
346,0.238333,0.670833,0.06345,3310,1,3167,143
347,0.2825,0.59,0.14055,3523,2,3368,155
348,0.3175,0.66375,0.0609583,3740,3,3562,178
349,0.4225,0.634167,0.268042,3709,4,3528,181
350,0.375,0.500417,0.260575,3577,5,3399,178
351,0.258333,0.560833,0.243167,2739,6,2464,275
352,0.238333,0.58625,0.169779,2431,0,2211,220
353,0.276667,0.6375,0.172896,3403,1,3143,260
354,0.385833,0.595417,0.0615708,3750,2,3534,216
355,0.428333,0.858333,0.2214,2660,3,2553,107
356,0.423333,0.7575,0.047275,3068,4,2841,227
357,0.373333,0.68625,0.274246,2209,5,2046,163
358,0.3025,0.5425,0.190304,1011,6,856,155
359,0.274783,0.681304,0.155091,754,0,451,303
360,0.321739,0.506957,0.239465,1317,1,887,430
361,0.325,0.7625,0.18845,1162,2,1059,103
362,0.29913,0.503913,0.293961,2302,3,2047,255
363,0.248333,0.574167,0.119412,2423,4,2169,254
364,0.311667,0.636667,0.134337,2999,5,2508,491
365,0.41,0.615833,0.220154,2485,6,1820,665
366,0.37,0.6925,0.192167,2294,0,1608,686
367,0.273043,0.381304,0.329665,1951,1,1707,244
368,0.15,0.44125,0.365671,2236,2,2147,89
369,0.1075,0.414583,0.1847,2368,3,2273,95
370,0.265833,0.524167,0.129987,3272,4,3132,140
371,0.334167,0.542083,0.167908,4098,5,3791,307
372,0.393333,0.531667,0.174758,4521,6,3451,1070
373,0.3375,0.465,0.191542,3425,0,2826,599
374,0.224167,0.701667,0.0989,2376,1,2270,106
375,0.308696,0.646522,0.187552,3598,2,3425,173
376,0.274167,0.8475,0.131221,2177,3,2085,92
377,0.3825,0.802917,0.180967,4097,4,3828,269
378,0.274167,0.5075,0.378108,3214,5,3040,174
379,0.18,0.4575,0.187183,2493,6,2160,333
380,0.166667,0.419167,0.251258,2311,0,2027,284
381,0.19,0.5225,0.231358,2298,1,2081,217
382,0.373043,0.716087,0.34913,2935,2,2808,127
383,0.303333,0.443333,0.415429,3376,3,3267,109
384,0.19,0.4975,0.220158,3292,4,3162,130
385,0.2175,0.45,0.20275,3163,5,3048,115
386,0.173333,0.83125,0.222642,1301,6,1234,67
387,0.1625,0.79625,0.199638,1977,0,1781,196
388,0.218333,0.91125,0.110708,2432,1,2287,145
389,0.3425,0.835833,0.123767,4339,2,3900,439
390,0.294167,0.64375,0.161071,4270,3,3803,467
391,0.341667,0.769583,0.0733958,4075,4,3831,244
392,0.425,0.74125,0.342667,3456,5,3187,269
393,0.315833,0.543333,0.210829,4023,6,3248,775
394,0.2825,0.31125,0.24005,3243,0,2685,558
395,0.269167,0.400833,0.215792,3624,1,3498,126
396,0.39,0.416667,0.261817,4509,2,4185,324
397,0.469167,0.507917,0.189067,4579,3,4275,304
398,0.399167,0.672917,0.187187,3761,4,3571,190
399,0.313333,0.526667,0.178496,4151,5,3841,310
400,0.264167,0.779583,0.121896,2832,6,2448,384
401,0.265833,0.687917,0.175996,2947,0,2629,318
402,0.282609,0.622174,0.1538,3784,1,3578,206
403,0.354167,0.49625,0.147379,4375,2,4176,199
404,0.256667,0.722917,0.133721,2802,3,2693,109
405,0.265,0.562083,0.194037,3830,4,3667,163
406,0.280833,0.54,0.116929,3831,5,3604,227
407,0.224167,0.73125,0.289796,2169,6,1977,192
408,0.1275,0.464583,0.409212,1529,0,1456,73
409,0.2225,0.41125,0.167283,3422,1,3328,94
410,0.319167,0.50875,0.141179,3922,2,3787,135
411,0.348333,0.53125,0.1816,4169,3,4028,141
412,0.316667,0.752917,0.091425,3005,4,2931,74
413,0.343333,0.634583,0.205846,4154,5,3805,349
414,0.346667,0.534583,0.190929,4318,6,2883,1435
415,0.28,0.515833,0.253112,2689,0,2071,618
416,0.28,0.507826,0.229083,3129,1,2627,502
417,0.287826,0.594348,0.205717,3777,2,3614,163
418,0.395833,0.567917,0.234471,4773,3,4379,394
419,0.454167,0.554583,0.190913,5062,4,4546,516
420,0.4075,0.7375,0.237567,3487,5,3241,246
421,0.290833,0.395833,0.421642,2732,6,2415,317
422,0.279167,0.41,0.205229,3389,0,2874,515
423,0.366667,0.490833,0.268033,4322,1,4069,253
424,0.359167,0.395833,0.193417,4363,2,4134,229
425,0.344348,0.804783,0.179117,1834,3,1769,65
426,0.485833,0.615417,0.226987,4990,4,4665,325
427,0.353333,0.657083,0.144904,3194,5,2948,246
428,0.414167,0.62125,0.161079,4066,6,3110,956
429,0.325833,0.403333,0.334571,3423,0,2713,710
430,0.243333,0.50625,0.228858,3333,1,3130,203
431,0.258333,0.456667,0.200875,3956,2,3735,221
432,0.404167,0.513333,0.345779,4916,3,4484,432
433,0.5275,0.5675,0.441563,5382,4,4896,486
434,0.410833,0.407083,0.4148,4569,5,4122,447
435,0.2875,0.350417,0.22575,4118,6,3150,968
436,0.361739,0.476957,0.222587,4911,0,3253,1658
437,0.466667,0.489167,0.207713,5298,1,4460,838
438,0.565,0.6175,0.23695,5847,2,5085,762
439,0.5725,0.507083,0.115062,6312,3,5315,997
440,0.5575,0.579583,0.149883,6192,4,5187,1005
441,0.435833,0.842083,0.113192,4378,5,3830,548
442,0.514167,0.755833,0.110704,7836,6,4681,3155
443,0.4725,0.81,0.126883,5892,0,3685,2207
444,0.545,0.72875,0.162317,6153,1,5171,982
445,0.560833,0.807917,0.121271,6093,2,5042,1051
446,0.531667,0.82125,0.0895583,6230,3,5108,1122
447,0.554167,0.83125,0.117562,6871,4,5537,1334
448,0.601667,0.694167,0.1163,8362,5,5893,2469
449,0.5025,0.885417,0.192783,3372,6,2339,1033
450,0.4375,0.880833,0.220775,4996,0,3464,1532
451,0.445833,0.477917,0.386821,5558,1,4763,795
452,0.323333,0.29,0.187192,5102,2,4571,531
453,0.484167,0.48125,0.291671,5698,3,5024,674
454,0.494167,0.439167,0.31965,6133,4,5299,834
455,0.37,0.580833,0.138067,5459,5,4663,796
456,0.424167,0.738333,0.250617,6235,6,3934,2301
457,0.425833,0.67625,0.172267,6041,0,3694,2347
458,0.433913,0.504348,0.312139,5936,1,4728,1208
459,0.466667,0.396667,0.100133,6772,2,5424,1348
460,0.541667,0.469583,0.180975,6436,3,5378,1058
461,0.435,0.374167,0.219529,6457,4,5265,1192
462,0.403333,0.377083,0.300388,6460,5,4653,1807
463,0.4375,0.254167,0.274871,6857,6,3605,3252
464,0.5,0.275833,0.232596,5169,0,2939,2230
465,0.489167,0.3175,0.358196,5585,1,4680,905
466,0.446667,0.435,0.249375,5918,2,5099,819
467,0.348696,0.469565,0.295274,4862,3,4380,482
468,0.3975,0.46625,0.290429,5409,4,4746,663
469,0.4425,0.408333,0.155471,6398,5,5146,1252
470,0.495,0.502917,0.190917,7460,6,4665,2795
471,0.606667,0.507917,0.225129,7132,0,4286,2846
472,0.664167,0.561667,0.284829,6370,1,5172,1198
473,0.608333,0.390417,0.273629,6691,2,5702,989
474,0.463333,0.569167,0.167912,4367,3,4020,347
475,0.498333,0.6125,0.0659292,6565,4,5719,846
476,0.526667,0.694583,0.149871,7290,5,5950,1340
477,0.57,0.682917,0.283587,6624,6,4083,2541
478,0.396667,0.835417,0.344546,1027,0,907,120
479,0.321667,0.766667,0.303496,3214,1,3019,195
480,0.413333,0.454167,0.249383,5633,2,5115,518
481,0.476667,0.427917,0.118792,6196,3,5541,655
482,0.498333,0.756667,0.176625,5026,4,4551,475
483,0.4575,0.400833,0.347633,6233,5,5219,1014
484,0.376667,0.489583,0.129975,4220,6,3100,1120
485,0.458333,0.587083,0.116908,6304,0,4075,2229
486,0.464167,0.57,0.171638,5572,1,4907,665
487,0.613333,0.659583,0.156096,5740,2,5087,653
488,0.564167,0.797083,0.138058,6169,3,5502,667
489,0.56,0.768333,0.133696,6421,4,5657,764
490,0.6275,0.735417,0.162938,6296,5,5227,1069
491,0.621667,0.756667,0.152992,6883,6,4387,2496
492,0.5625,0.74,0.149879,6359,0,4224,2135
493,0.5375,0.664167,0.230721,6273,1,5265,1008
494,0.581667,0.685833,0.296029,5728,2,4990,738
495,0.575,0.744167,0.216412,4717,3,4097,620
496,0.505833,0.552083,0.314063,6572,4,5546,1026
497,0.533333,0.360417,0.236937,7030,5,5711,1319
498,0.564167,0.480417,0.123133,7429,6,4807,2622
499,0.6125,0.57625,0.225117,6118,0,3946,2172
500,0.573333,0.789583,0.212692,2843,1,2501,342
501,0.611667,0.794583,0.147392,5115,2,4490,625
502,0.636667,0.697917,0.122512,7424,3,6433,991
503,0.593333,0.52,0.229475,7384,4,6142,1242
504,0.564167,0.523333,0.136817,7639,5,6118,1521
505,0.6,0.45625,0.083975,8294,6,4884,3410
506,0.620833,0.530417,0.254367,7129,0,4425,2704
507,0.598333,0.81125,0.233204,4359,1,3729,630
508,0.615,0.765833,0.118167,6073,2,5254,819
509,0.621667,0.774583,0.102,5260,3,4494,766
510,0.655,0.716667,0.172896,6770,4,5711,1059
511,0.68,0.747083,0.14055,6734,5,5317,1417
512,0.6925,0.7325,0.198992,6536,6,3681,2855
513,0.69,0.697083,0.215171,6591,0,3308,3283
514,0.7125,0.67625,0.196521,6043,1,3486,2557
515,0.7225,0.684583,0.2954,5743,2,4863,880
516,0.656667,0.67,0.134329,6855,3,6110,745
